risk_id,category,title,description,cause,impact_area,likelihood,impact,risk_score,owner,response_strategy,mitigation,target_date,last_updated,status,escalation_level,residual_score,linked_work_package
R-001,Approvals,Utility diversion approval delay,"Final diversion approval for the Cheras North Station corridor remains pending with the utility authority.","Late response from authority and unresolved crossing method comments","Schedule/Cost",5,5,25,Utilities Manager,Escalate,"Escalate through employer, submit revised method statement, extend night shift crew once permit is granted",31/03/2026,20/03/2026,Escalated,Employer,20,Utilities Relocation
R-002,Existing Conditions,Unidentified underground services at Cheras North,"Additional telecom ducts and an uncharted water main were encountered near Cheras North Station.","Legacy as-built records were incomplete","Schedule/Cost",5,4,20,Construction Manager,Mitigate,"Trial pits, redesign pile cap sequence, coordinate service protection with authority",2026-04-10,2026-03-19,Mitigating,Project,16,Cheras North Station Structural and Architectural
R-003,Weather,Prolonged heavy rainfall affecting pier works,"High rainfall reduced crane windows and concrete productivity during February.","Seasonal weather and saturated ground conditions","Schedule",4,4,16,Project Director,Mitigate,"Resequence spans, move crews to sheltered work fronts, use weekend recovery shifts",Apr 15 2026,Mar 18, 2026,Mitigating,Project,12,Viaduct Civil Works
R-004,Supply Chain,Precast segment supply bottleneck,"Supplier advised mould maintenance and manpower shortage could reduce weekly output for two weeks.","Single source dependency and unplanned mould downtime","Schedule/Cost",4,4,16,Supply Chain Lead,Mitigate,"Approve alternate casting yard capacity and prioritise critical spans",2026-03-28,2026-03-17,Monitoring,Project,10,Viaduct Civil Works
R-005,Design Interface,Interface drawing approval lag,"Signalling and traction power interface drawings are not yet fully approved.","Multi-party review cycle between civil, systems, and client reviewers","Schedule",4,5,20,Design Manager,Mitigate,"Weekly interface war room, issue comment tracker, split package into phased approvals",2026-04-05,19/03/2026,Mitigating,Steering Committee,15,Systems Interface and Design Coordination
R-006,Quality,Pier reinforcement NCR closure not independently verified,"NCR-014 was reported as closed by site, but independent QA verification is still pending.","Corrective action completed before full QA closeout","Quality/Schedule",3,3,9,QAQC Manager,Mitigate,"Complete joint inspection and update NCR register before next concrete pour",25/03/2026,2026-03-20,Open,Project,6,Viaduct Civil Works
R-007,Permits,Traffic management permit restrictions,"Weekend lane closure windows may be reduced after public complaints.","Community sensitivity near one station work front","Schedule",3,4,12,Traffic Manager,Mitigate,"Revise traffic diversion plan and increase public notices",2026-04-12,2026-03-18,Monitoring,Project,8,Traffic Management and Temporary Works
R-008,Productivity,Steelwork subcontractor productivity shortfall,"Pandan Gateway steelwork installation rate remains below tender assumption.","Crew turnover and crane sharing with other trades","Schedule/Cost",3,3,9,Package Manager - Pandan Gateway,Mitigate,"Rebaseline crew plan and add second shift for secondary steel",2026-04-20,2026-03-16,Mitigating,Project,6,Pandan Gateway Station Structural and Architectural
R-009,Scope Change,Architectural finishes revision request,"Employer requested higher-spec finishes at Pandan Gateway and Cheras North public areas.","Late stakeholder preference change","Cost",3,4,12,Commercial Manager,Transfer,"Price the change separately and prevent execution before instruction is formalised",2026-05-01,2026-03-14,Open,Commercial,9,Pandan Gateway Station Structural and Architectural
R-010,Access,Delayed access handover for systems contractor,"Systems contractor may not receive handed-over rooms and cable routes on time.","Cheras North civil sequence remains behind plan","Schedule",4,4,16,,Mitigate,"Advance partial handover strategy and prioritise equipment rooms",2026-04-30,2026-03-20,Open,Project,12,Testing and Commissioning Readiness
R-011,Safety,Near-miss from lifting exclusion breach,"One near-miss was recorded during lifting operations near the pier cap zone.","Subcontractor banksman rotation and weak barrier discipline","Safety/Reputation",2,5,10,HSE Manager,Mitigate,"Refresh lifting briefing, add dedicated spotter, tighten exclusion zone barriers",2026-03-24,2026-03-18,Monitoring,HSE,5,Viaduct Civil Works
R-012,Commercial,Pending variation orders converting to claims,"Several pending VOs may harden into claims if design direction is delayed.","Instruction timing remains unclear for multiple scope changes","Cost/Reputation",4,3,12,Commercial Manager,Mitigate,"Freeze evidence trail, issue notices early, track instructed vs uninstructed work weekly",2026-04-18,2026-03-19,Mitigating,Commercial,9,Multiple
R-013,Stakeholder,Restricted working hours due to community complaints,"Residents near Cheras North Station requested shorter night working windows.","Noise and truck movement during utility works","Schedule",3,3,9,Stakeholder Lead,Mitigate,"Add acoustic barriers and shift high-noise activities earlier in the night",2026-04-08,2026-03-17,Monitoring,Project,6,Utilities Relocation
R-014,Testing,Readiness for integrated systems testing slipping,"Integrated testing readiness may move by 4-6 weeks if interface approvals stay partial.","Design and access dependencies are compounding","Schedule/Cost",4,5,20,Systems Integration Lead,Escalate,"Prepare phased T&C plan tied to partial handovers and approve temporary workarounds",2026-05-15,20/03/2026,Escalated,Steering Committee,16,Testing and Commissioning Readiness
